params,mean_test_score,std_test_score,rank_test_score
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 3]}",0.5853213671575271,0.017948807499592843,61
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5853213671575271,0.017948807499592843,61
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'auto', 'weights': [1, 3]}",0.5853213671575271,0.017948807499592843,61
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 2]}",0.5851188374262272,0.018284650433638125,67
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 3]}",0.5851188374262272,0.018284650433638125,67
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 2]}",0.5851188374262272,0.018284650433638125,67
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 3]}",0.5851188374262272,0.018284650433638125,67
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 2]}",0.5851188374262272,0.018284650433638125,67
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 1.0, 'svm__svc__gamma': 'scale', 'weights': [1, 3]}",0.5851188374262272,0.018284650433638125,67
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5777313701051681,0.01888903342876992,73
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 3]}",0.5777313701051681,0.01888903342876992,73
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 3]}",0.5777313701051681,0.01888903342876992,73
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5777313701051681,0.01888903342876992,73
